PlantID,PlantName,SoilTextureID,PHRangeID,OrganicMatterID,SalinityLevelID,ZoneID,HumidityID,PlantTypeID,PlantDescription
2,Lettuce,1,3,3,2,8.0,2,2,Sample row 0
4,Basil,1,2,1,2,10.0,3,3,Sample row 1
3,Tomato,3,1,3,1,9.0,2,2,Sample row 2
3,Tomato,1,1,3,1,8.0,3,1,Sample row 3
3,Tomato,3,4,2,1,8.0,1,2,Sample row 4
4,Basil,1,2,1,2,8.0,3,1,Sample row 5
2,Lettuce,1,1,3,1,9.0,2,2,Sample row 6
4,Basil,3,4,2,2,8.0,3,2,Sample row 7
2,Lettuce,3,4,3,2,9.0,1,2,Sample row 8
2,Lettuce,1,4,1,1,8.0,2,2,Sample row 9
3,Tomato,3,2,1,1,8.0,2,3,Sample row 10
4,Basil,2,4,1,1,10.0,1,1,Sample row 11
4,Basil,2,4,3,1,10.0,3,3,Sample row 12
4,Basil,3,1,3,1,10.0,2,3,Sample row 13
4,Basil,2,3,2,2,10.0,1,3,Sample row 14
4,Basil,2,2,2,2,10.0,3,2,Sample row 15
3,Tomato,3,2,3,2,8.0,1,1,Sample row 16
2,Lettuce,1,2,2,1,9.0,2,1,Sample row 17
4,Basil,2,2,2,1,10.0,1,2,Sample row 18
3,Tomato,2,1,3,1,8.0,3,3,Sample row 19
3,Tomato,3,4,3,1,10.0,1,2,Sample row 20
3,Tomato,2,4,3,1,9.0,1,3,Sample row 21
2,Lettuce,2,3,3,2,8.0,1,1,Sample row 22
4,Basil,3,1,1,2,10.0,2,3,Sample row 23
4,Basil,3,1,3,2,9.0,1,2,Sample row 24
3,Tomato,3,3,1,2,10.0,3,1,Sample row 25
3,Tomato,3,4,1,2,9.0,2,2,Sample row 26
4,Basil,3,4,3,2,10.0,1,1,Sample row 27
3,Tomato,3,3,1,1,9.0,2,1,Sample row 28
3,Tomato,1,1,2,1,9.0,2,2,Sample row 29
3,Tomato,3,3,3,2,10.0,3,2,Sample row 30
2,Lettuce,2,1,2,1,10.0,3,1,Sample row 31
2,Lettuce,3,1,3,1,9.0,2,3,Sample row 32
3,Tomato,2,4,3,1,10.0,3,2,Sample row 33
4,Basil,3,4,3,2,9.0,1,3,Sample row 34
2,Lettuce,2,3,1,1,8.0,3,1,Sample row 35
4,Basil,1,4,2,1,10.0,2,1,Sample row 36
4,Basil,3,1,2,2,10.0,2,3,Sample row 37
2,Lettuce,2,2,1,1,9.0,3,1,Sample row 38
3,Tomato,3,4,3,1,8.0,1,3,Sample row 39
2,Lettuce,3,3,1,1,9.0,2,1,Sample row 40
4,Basil,3,3,1,1,9.0,3,3,Sample row 41
4,Basil,2,2,3,1,8.0,2,1,Sample row 42
3,Tomato,1,3,3,2,10.0,2,1,Sample row 43
2,Lettuce,2,4,1,2,10.0,1,3,Sample row 44
4,Basil,3,1,1,2,10.0,1,2,Sample row 45
3,Tomato,1,3,2,1,10.0,3,3,Sample row 46
4,Basil,1,1,1,1,8.0,3,3,Sample row 47
4,Basil,3,1,1,2,8.0,2,3,Sample row 48
4,Basil,1,1,1,1,8.0,3,2,Sample row 49
4,Basil,3,4,3,1,8.0,3,1,Sample row 50
2,Lettuce,1,3,3,2,10.0,1,3,Sample row 51
3,Tomato,3,3,3,2,9.0,1,2,Sample row 52
3,Tomato,1,1,1,2,9.0,2,3,Sample row 53
3,Tomato,2,3,1,2,9.0,1,3,Sample row 54
2,Lettuce,3,1,1,1,8.0,1,3,Sample row 55
3,Tomato,2,4,3,2,9.0,1,1,Sample row 56
2,Lettuce,2,1,1,1,10.0,2,3,Sample row 57
4,Basil,2,1,2,1,10.0,1,2,Sample row 58
4,Basil,3,3,2,2,10.0,1,2,Sample row 59
4,Basil,3,3,2,1,8.0,3,2,Sample row 60
4,Basil,1,2,2,2,10.0,1,2,Sample row 61
3,Tomato,2,4,1,1,9.0,2,3,Sample row 62
4,Basil,2,4,2,1,8.0,3,1,Sample row 63
3,Tomato,3,2,1,1,9.0,2,3,Sample row 64
2,Lettuce,2,2,2,2,9.0,1,2,Sample row 65
4,Basil,3,1,3,2,9.0,1,3,Sample row 66
3,Tomato,1,2,2,1,9.0,1,1,Sample row 67
2,Lettuce,1,3,2,2,9.0,3,2,Sample row 68
3,Tomato,2,3,2,2,8.0,1,3,Sample row 69
4,Basil,2,3,1,1,9.0,2,2,Sample row 70
2,Lettuce,2,4,2,2,10.0,2,3,Sample row 71
3,Tomato,1,4,3,2,10.0,2,1,Sample row 72
2,Lettuce,3,1,1,2,10.0,2,2,Sample row 73
4,Basil,1,1,1,1,10.0,3,3,Sample row 74
3,Tomato,1,1,1,2,9.0,2,1,Sample row 75
2,Lettuce,3,2,1,2,10.0,1,2,Sample row 76
2,Lettuce,3,3,3,1,9.0,3,1,Sample row 77
3,Tomato,1,3,3,1,9.0,2,2,Sample row 78
4,Basil,3,1,3,1,10.0,2,1,Sample row 79
4,Basil,3,3,1,2,10.0,2,3,Sample row 80
3,Tomato,2,2,1,2,8.0,3,2,Sample row 81
2,Lettuce,2,1,3,1,9.0,3,3,Sample row 82
4,Basil,3,4,2,1,10.0,3,3,Sample row 83
3,Tomato,2,1,2,1,10.0,2,1,Sample row 84
4,Basil,1,4,3,1,9.0,2,2,Sample row 85
2,Lettuce,3,1,1,1,8.0,3,3,Sample row 86
2,Lettuce,1,3,1,1,8.0,1,2,Sample row 87
4,Basil,3,3,3,1,8.0,1,1,Sample row 88
4,Basil,1,4,3,2,9.0,2,2,Sample row 89
3,Tomato,2,3,3,2,9.0,1,3,Sample row 90
4,Basil,2,3,2,2,9.0,3,3,Sample row 91
4,Basil,1,2,2,2,10.0,3,2,Sample row 92
3,Tomato,2,2,3,1,9.0,1,3,Sample row 93
4,Basil,2,2,2,1,10.0,2,2,Sample row 94
2,Lettuce,1,1,2,2,10.0,2,2,Sample row 95
2,Lettuce,2,1,1,1,8.0,1,1,Sample row 96
4,Basil,1,3,3,2,9.0,2,1,Sample row 97
3,Tomato,1,3,2,1,9.0,1,1,Sample row 98
2,Lettuce,3,3,2,2,10.0,3,2,Sample row 99
4,Basil,3,2,3,2,9.0,3,2,Sample row 100
2,Lettuce,3,2,3,2,10.0,2,3,Sample row 101
4,Basil,1,1,2,2,10.0,2,2,Sample row 102
2,Lettuce,2,4,2,1,10.0,1,3,Sample row 103
4,Basil,1,2,3,2,10.0,3,2,Sample row 104
4,Basil,2,1,1,1,8.0,2,3,Sample row 105
4,Basil,3,2,3,2,10.0,2,1,Sample row 106
3,Tomato,3,1,2,1,10.0,2,1,Sample row 107
3,Tomato,1,3,2,2,8.0,3,2,Sample row 108
4,Basil,3,1,1,1,9.0,3,1,Sample row 109
2,Lettuce,2,1,3,2,10.0,3,2,Sample row 110
4,Basil,3,1,3,2,10.0,2,3,Sample row 111
3,Tomato,2,1,3,1,8.0,2,1,Sample row 112
3,Tomato,3,2,1,2,9.0,1,3,Sample row 113
3,Tomato,2,1,3,1,10.0,3,2,Sample row 114
3,Tomato,3,2,1,1,10.0,2,2,Sample row 115
2,Lettuce,3,4,3,1,10.0,2,2,Sample row 116
